"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Front cover","",,Journal of Communications and Networks,"17 May 2021","2021","23","2","c1","c1","","1976-5541","","10.23919/JCN.2021.100007","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9433497","","Wireless sensor networks;Streaming media;Adaptive systems;Wireless communication;Transmitters;Systematics;Surveillance","","","","","","17 May 2021","","","KICS","KICS Journals"
"Inside front cover","",,Journal of Communications and Networks,"17 May 2021","2021","23","2","c2","c2","","1976-5541","","10.23919/JCN.2021.100008","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9433499","","Wide area networks;Sun;Wireless communication","","","","","","17 May 2021","","","KICS","KICS Journals"
"Subject index","",,Journal of Systems Engineering and Electronics,"12 Jan 2022","2021","32","6","1561","1566","","1004-4132","","10.23919/JSEE.2021.9679721","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9679721","","Radar imaging;Modeling;Spaceborne radar;Radar;Optimization;Indexes;Imaging","","","","","","12 Jan 2022","","","BIAI","BIAI Journals"
"Information for authors","",,Journal of Communications and Networks,"18 Jan 2022","2021","23","6","501","505","","1976-5541","","10.23919/JCN.2021.100039","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9684776","","Urban areas;Standards;Patents;Protocols;Plagiarism;Open Access;IEEE bylaws","","","","","","18 Jan 2022","","","KICS","KICS Journals"
"Front cover","",,Journal of Communications and Networks,"18 Jan 2022","2021","23","6","c1","c1","","1976-5541","","10.23919/JCN.2021.100035","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9684780","","Wireless communication;Decoding;6G mobile communication;Resource management;Quality of experience;Probabilistic logic;Power demand","","","","","","18 Jan 2022","","","KICS","KICS Journals"
"Call for papers","",,Journal of Communications and Networks,"22 Nov 2021","2021","23","5","408","408","","1976-5541","","10.23919/JCN.2021.100031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9623662","","Special issues and sections;Wireless communication;Web sites;Delays;Wireless sensor networks;Stress;Power control","","","","","","22 Nov 2021","","","KICS","KICS Journals"
"Call for papers","",,Journal of Communications and Networks,"18 Jan 2022","2021","23","6","500","500","","1976-5541","","10.23919/JCN.2021.100038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9684778","","Wireless networks;Channel estimation;6G mobile communication;Reconfigurable intelligent surfaces;Interference;Estimation;Communication system security","","","","","","18 Jan 2022","","","KICS","KICS Journals"
"Front cover","",,Journal of Communications and Networks,"22 Nov 2021","2021","23","5","c1","c1","","1976-5541","","10.23919/JCN.2021.100028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9624184","","COVID-19;Testing;Special issues and sections;Social factors;Predictive models;Pandemics;Optimization","","","","","","22 Nov 2021","","","KICS","KICS Journals"
"Reviewer list for 2021","",,Journal of Communications and Networks,"18 Jan 2022","2021","23","6","509","514","","1976-5541","","10.23919/JCN.2021.9684784","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9684784","","STEM;Sun;Transportation;Programmable logic arrays;National security;NIST;Manufacturing","","","","","","18 Jan 2022","","","KICS","KICS Journals"
"Inside front cover","",,Journal of Systems Engineering and Electronics,"12 Jan 2022","2021","32","6","c2","c2","","1004-4132","","10.23919/JSEE.2021.9679695","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9679695","","Synthetic aperture radar;Radar signal processing;Spaceborne radar;System analysis and design;Strain;Radar remote sensing;Earthquakes","","","","","","12 Jan 2022","","","BIAI","BIAI Journals"
"Call for special issue proposals","",,Journal of Communications and Networks,"20 Sep 2021","2021","23","4","300","300","","1976-5541","","10.23919/JCN.2021.100023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9541330","","Proposals;Germanium;Special issues and sections;Tutorials;Schedules;Open Access;Ethics","","","","","","20 Sep 2021","","","KICS","KICS Journals"
"Inside back cover","",,Journal of Systems Engineering and Electronics,"11 Nov 2021","2021","32","5","c3","c3","","1004-4132","","10.23919/JSEE.2021.9612146","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9612146","","Cloud computing;Control systems;Big Data;Modeling;Indexes;Wireless sensor networks;Task analysis","","","","","","11 Nov 2021","","","BIAI","BIAI Journals"
"Open access publishing agreement","",,Journal of Communications and Networks,"20 Sep 2021","2021","23","4","306","308","","1976-5541","","10.23919/JCN.2021.100026","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9541332","","Servers;Open Access;Licenses;Training;Object recognition;Libraries;Web sites","","","","","","20 Sep 2021","","","KICS","KICS Journals"
"Contents","",,Journal of Systems Engineering and Electronics,"14 Oct 2021","2021","32","4","1","1","","1004-4132","","10.23919/JSEE.2021.9574614","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9574614","","Array signal processing;Antenna arrays;Sensor arrays;Broadband antennas;Solid modeling;Satellites;Reliability","","","","","","14 Oct 2021","","","BIAI","BIAI Journals"
"Back cover","",,Journal of Communications and Networks,"20 Sep 2021","2021","23","4","c4","c4","","1976-5541","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9541334","","Wireless sensor networks;Wireless communication;Power control;Optimization;Minimization;Intelligent networks;Heuristic algorithms","","","","","","20 Sep 2021","","","KICS","KICS Journals"
"Information for authors","",,Journal of Communications and Networks,"12 Mar 2021","2021","23","1","65","65","","1976-5541","","10.23919/JCN.2021.100003","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9377695","","Urban areas;Standards;Patents;Protocols;Open Access;IEEE bylaws;Special issues and sections","","","","","","12 Mar 2021","","","KICS","KICS Journals"
"Call for papers","",,Journal of Communications and Networks,"12 Mar 2021","2021","23","1","64","64","","1976-5541","","10.23919/JCN.2021.100002","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9377697","","COVID-19;Testing;Privacy;Monitoring;Adaptation models;Wireless networks;Web sites","","","","","","12 Mar 2021","","","KICS","KICS Journals"
"Inside back cover","",,Journal of Systems Engineering and Electronics,"14 Oct 2021","2021","32","4","c3","c3","","1004-4132","","10.23919/JSEE.2021.9574657","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9574657","","","","","","","","14 Oct 2021","","","BIAI","BIAI Journals"
"Back cover","",,Journal of Communications and Networks,"12 Mar 2021","2021","23","1","c4","c4","","1976-5541","","10.23919/JCN.2021.100005","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9377700","","Wireless sensor networks;Wireless networks;Uplink;Transmitting antennas;Software defined networking;Sensors;Routing","","","","","","12 Mar 2021","","","KICS","KICS Journals"
"Front cover","",,Journal of Communications and Networks,"12 Mar 2021","2021","23","1","c1","c1","","1976-5541","","10.23919/JCN.2021.100000","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9377699","","Wireless sensor networks;Wireless networks;Uplink;Transmitting antennas;Software defined networking;Sensors;Routing","","","","","","12 Mar 2021","","","KICS","KICS Journals"
"Contents","",,Journal of Systems Engineering and Electronics,"11 Nov 2021","2021","32","5","1","2","","1004-4132","","10.23919/JSEE.2021.9612123","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9612123","","Spaceborne radar;Unmanned aerial vehicles;Reliability engineering;Radar imaging;Fault tolerant systems;Fault tolerance;Analytical models","","","","","","11 Nov 2021","","","BIAI","BIAI Journals"
"Call for papers","",,Journal of Communications and Networks,"17 May 2021","2021","23","2","148","148","","1976-5541","","10.23919/JCN.2021.100009","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9433494","","Special issues and sections;Web sites;Wireless networks;Uplink;Stress;Software defined networking;Sensors","","","","","","17 May 2021","","","KICS","KICS Journals"
"Open access publishing agreement","",,Journal of Communications and Networks,"17 May 2021","2021","23","2","155","157","","1976-5541","","10.23919/JCN.2021.100012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9433496","","Servers;Open Access;Licenses;Training;Object recognition;Libraries;Web sites","","","","","","17 May 2021","","","KICS","KICS Journals"
"Inside back cover","",,Journal of Systems Engineering and Electronics,"3 Mar 2021","2021","32","1","c3","c3","","1004-4132","","10.23919/JSEE.2021.9369170","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9369170","","Mathematical model;Terminology;Sun;Biographies;Uncertainty;Robust control;Reliability theory","","","","","","3 Mar 2021","","","BIAI","BIAI Journals"
"Back cover","",,Journal of Communications and Networks,"17 May 2021","2021","23","2","c4","c4","","1976-5541","","10.23919/JCN.2021.100013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9433498","","Wireless sensor networks;Streaming media;Adaptive systems;Wireless communication;Transmitters;Systematics;Surveillance","","","","","","17 May 2021","","","KICS","KICS Journals"
"Author index","",,Journal of Systems Engineering and Electronics,"12 Jan 2022","2021","32","6","1557","1560","","1004-4132","","10.23919/JSEE.2021.9679720","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9679720","","Wide area networks;Sun;Indexes;Fans;Systems engineering and theory;Chaos;Graphical user interfaces","","","","","","12 Jan 2022","","","BIAI","BIAI Journals"
"Information for authors","",,Journal of Communications and Networks,"22 Nov 2021","2021","23","5","412","416","","1976-5541","","10.23919/JCN.2021.100033","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9623661","","Urban areas;Standards;Patents;Protocols;Open Access;IEEE bylaws;Special issues and sections","","","","","","22 Nov 2021","","","KICS","KICS Journals"
"Instructions for authors","",,Journal of Systems Engineering and Electronics,"12 Jan 2022","2021","32","6","1","1","","1004-4132","","10.23919/JSEE.2021.9679722","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9679722","","Terminology;Sun;Uncertainty;Robust control;Reliability theory;Modeling;Mathematical models","","","","","","12 Jan 2022","","","BIAI","BIAI Journals"
"Call for papers","",,Journal of Communications and Networks,"18 Jan 2022","2021","23","6","499","499","","1976-5541","","10.23919/JCN.2021.100037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9684777","","COVID-19;Special issues and sections;Wireless communication;Web sites;6G mobile communication;Testing;Stress","","","","","","18 Jan 2022","","","KICS","KICS Journals"
